supplier_id,supplier_name,supplier_type,location_id,product_id
SUP-001,Lake Gardens Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-001,PRO-001
SUP-002,Lake Gardens Staples & Cooking Depot,Staples & Cooking,KOL-LOC-001,PRO-061
SUP-003,Lake Gardens Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-001,PRO-011
SUP-004,Lake Gardens Beverages Supply Point,Beverages,KOL-LOC-001,PRO-031
SUP-005,"Lake Gardens Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-001,PRO-141
SUP-006,Jadavpur Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-002,PRO-001
SUP-007,Jadavpur Staples & Cooking Depot,Staples & Cooking,KOL-LOC-002,PRO-061
SUP-008,Jadavpur Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-002,PRO-011
SUP-009,Jadavpur Beverages Supply Point,Beverages,KOL-LOC-002,PRO-031
SUP-010,"Jadavpur Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-002,PRO-141
SUP-011,Dhakuria Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-003,PRO-001
SUP-012,Dhakuria Staples & Cooking Depot,Staples & Cooking,KOL-LOC-003,PRO-061
SUP-013,Dhakuria Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-003,PRO-011
SUP-014,Dhakuria Beverages Supply Point,Beverages,KOL-LOC-003,PRO-031
SUP-015,"Dhakuria Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-003,PRO-141
SUP-016,Gariahat Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-004,PRO-001
SUP-017,Gariahat Staples & Cooking Depot,Staples & Cooking,KOL-LOC-004,PRO-061
SUP-018,Gariahat Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-004,PRO-011
SUP-019,Gariahat Beverages Supply Point,Beverages,KOL-LOC-004,PRO-031
SUP-020,"Gariahat Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-004,PRO-141
SUP-021,Ballygunge Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-005,PRO-001
SUP-022,Ballygunge Staples & Cooking Depot,Staples & Cooking,KOL-LOC-005,PRO-061
SUP-023,Ballygunge Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-005,PRO-011
SUP-024,Ballygunge Beverages Supply Point,Beverages,KOL-LOC-005,PRO-031
SUP-025,"Ballygunge Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-005,PRO-141
SUP-026,Jodhpur Park Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-006,PRO-001
SUP-027,Jodhpur Park Staples & Cooking Depot,Staples & Cooking,KOL-LOC-006,PRO-061
SUP-028,Jodhpur Park Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-006,PRO-011
SUP-029,Jodhpur Park Beverages Supply Point,Beverages,KOL-LOC-006,PRO-031
SUP-030,"Jodhpur Park Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-006,PRO-141
SUP-031,Tollygunge Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-007,PRO-001
SUP-032,Tollygunge Staples & Cooking Depot,Staples & Cooking,KOL-LOC-007,PRO-061
SUP-033,Tollygunge Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-007,PRO-011
SUP-034,Tollygunge Beverages Supply Point,Beverages,KOL-LOC-007,PRO-031
SUP-035,"Tollygunge Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-007,PRO-141
SUP-036,Golf Green Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-008,PRO-001
SUP-037,Golf Green Staples & Cooking Depot,Staples & Cooking,KOL-LOC-008,PRO-061
SUP-038,Golf Green Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-008,PRO-011
SUP-039,Golf Green Beverages Supply Point,Beverages,KOL-LOC-008,PRO-031
SUP-040,"Golf Green Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-008,PRO-141
SUP-041,Garia Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-009,PRO-001
SUP-042,Garia Staples & Cooking Depot,Staples & Cooking,KOL-LOC-009,PRO-061
SUP-043,Garia Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-009,PRO-011
SUP-044,Garia Beverages Supply Point,Beverages,KOL-LOC-009,PRO-031
SUP-045,"Garia Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-009,PRO-141
SUP-046,Kasba Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-010,PRO-001
SUP-047,Kasba Staples & Cooking Depot,Staples & Cooking,KOL-LOC-010,PRO-061
SUP-048,Kasba Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-010,PRO-011
SUP-049,Kasba Beverages Supply Point,Beverages,KOL-LOC-010,PRO-031
SUP-050,"Kasba Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-010,PRO-141
SUP-051,Mukundapur Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-011,PRO-001
SUP-052,Mukundapur Staples & Cooking Depot,Staples & Cooking,KOL-LOC-011,PRO-061
SUP-053,Mukundapur Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-011,PRO-011
SUP-054,Mukundapur Beverages Supply Point,Beverages,KOL-LOC-011,PRO-031
SUP-055,"Mukundapur Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-011,PRO-141
SUP-056,Santoshpur Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-012,PRO-001
SUP-057,Santoshpur Staples & Cooking Depot,Staples & Cooking,KOL-LOC-012,PRO-061
SUP-058,Santoshpur Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-012,PRO-011
SUP-059,Santoshpur Beverages Supply Point,Beverages,KOL-LOC-012,PRO-031
SUP-060,"Santoshpur Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-012,PRO-141
SUP-061,New Alipore Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-013,PRO-001
SUP-062,New Alipore Staples & Cooking Depot,Staples & Cooking,KOL-LOC-013,PRO-061
SUP-063,New Alipore Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-013,PRO-011
SUP-064,New Alipore Beverages Supply Point,Beverages,KOL-LOC-013,PRO-031
SUP-065,"New Alipore Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-013,PRO-141
SUP-066,Behala Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-014,PRO-001
SUP-067,Behala Staples & Cooking Depot,Staples & Cooking,KOL-LOC-014,PRO-061
SUP-068,Behala Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-014,PRO-011
SUP-069,Behala Beverages Supply Point,Beverages,KOL-LOC-014,PRO-031
SUP-070,"Behala Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-014,PRO-141
SUP-071,Chetla Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-015,PRO-001
SUP-072,Chetla Staples & Cooking Depot,Staples & Cooking,KOL-LOC-015,PRO-061
SUP-073,Chetla Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-015,PRO-011
SUP-074,Chetla Beverages Supply Point,Beverages,KOL-LOC-015,PRO-031
SUP-075,"Chetla Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-015,PRO-141
SUP-076,Alipore Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-016,PRO-001
SUP-077,Alipore Staples & Cooking Depot,Staples & Cooking,KOL-LOC-016,PRO-061
SUP-078,Alipore Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-016,PRO-011
SUP-079,Alipore Beverages Supply Point,Beverages,KOL-LOC-016,PRO-031
SUP-080,"Alipore Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-016,PRO-141
SUP-081,Kalighat Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-017,PRO-001
SUP-082,Kalighat Staples & Cooking Depot,Staples & Cooking,KOL-LOC-017,PRO-061
SUP-083,Kalighat Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-017,PRO-011
SUP-084,Kalighat Beverages Supply Point,Beverages,KOL-LOC-017,PRO-031
SUP-085,"Kalighat Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-017,PRO-141
SUP-086,Bhawanipore Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-018,PRO-001
SUP-087,Bhawanipore Staples & Cooking Depot,Staples & Cooking,KOL-LOC-018,PRO-061
SUP-088,Bhawanipore Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-018,PRO-011
SUP-089,Bhawanipore Beverages Supply Point,Beverages,KOL-LOC-018,PRO-031
SUP-090,"Bhawanipore Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-018,PRO-141
SUP-091,Park Street Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-019,PRO-001
SUP-092,Park Street Staples & Cooking Depot,Staples & Cooking,KOL-LOC-019,PRO-061
