source_id,source_file,source_path,raw_copy_path,file_format,file_size_bytes,sheet_name,source_type,domain,description,sha256,ingestion_timestamp,source_status,provenance
SRC-001,locations.csv.csv,D:\ai-multi-agent-supply-chain\Datasets\raw\master\locations.csv.csv,D:\ai-multi-agent-supply-chain\data\01_raw\locations.csv.csv,CSV,934,,MASTER,Location,40 Kolkata region location IDs and names,40caa4dbc54c831bcda98f647f614f859db71701575d88fefbdec74545746ad3,2026-09-23T17:43:15.239241+00:00,AVAILABLE,Datasets/raw
SRC-002,products.csv,D:\ai-multi-agent-supply-chain\Datasets\raw\master\products.csv,D:\ai-multi-agent-supply-chain\data\01_raw\products.csv,CSV,27183,,MASTER,Product,200-product master with 5 unit sizes and pricing per product,755dd01f53337796e14060d4ec3585bd95765fe59f3c839bdfe109b475ace1af,2026-09-23T17:43:15.247820+00:00,AVAILABLE,Datasets/raw
SRC-003,Final product list.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\master\Final product list.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\Final product list.xlsx,XLSX,30166,product_master|category_summary|README,MASTER,Product,Excel version of product master; also contains category_summary and README,23b75e1ef426a481af1ffe15594408cf655d9bcab5d0d76ccfbb73a680837ce4,2026-09-23T17:43:15.257180+00:00,AVAILABLE,Datasets/raw
SRC-004,festival_calendar.csv,D:\ai-multi-agent-supply-chain\Datasets\raw\external\festival_calendar.csv,D:\ai-multi-agent-supply-chain\data\01_raw\festival_calendar.csv,CSV,1163,,REFERENCE,Festival/Calendar,36 festival/holiday events across 2024-2025,42d839f7506e84fb0b930da11c951a41eda1c2339a04dd62eb5ffc8f8fe6e331,2026-09-23T17:43:15.264565+00:00,AVAILABLE,Datasets/raw
SRC-005,weather_weekly.csv,D:\ai-multi-agent-supply-chain\Datasets\raw\external\weather_weekly.csv,D:\ai-multi-agent-supply-chain\data\01_raw\weather_weekly.csv,CSV,8164,,EXTERNAL_CONTEXT,Weather,105 weekly weather observations (2024-2026) for Kolkata,5eca15b44810b01befda43c74381c589bbff5baf89f81ad72d2213f2089c8782,2026-09-23T17:43:15.272346+00:00,AVAILABLE,Datasets/raw
SRC-006,Demand of last 2 years.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\demand\Demand of last 2 years.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\Demand of last 2 years.xlsx,XLSX,4931120,demand_training_data|data_dictionary|README|data_sources|quality_checks|Reference_Key_Spec|Product_Universe|Region_Week_Index|Backend_QA|Linked_Architecture,HISTORICAL_FACT|TRAINING_DATA,Demand,"Primary demand dataset: 27,800 rows x 44 cols, 40 regions x 200 products x 139 weeks (synthetic-training data with weather+festival context)",08130ce1cd06c6d08d215c9a22e737b3aedc2a36eea59d6091a92e38b0ad9db2,2026-09-23T17:43:15.288326+00:00,AVAILABLE,Datasets/raw
SRC-007,final_demand_agent_training_2_years_kolkata (1).xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\demand\final_demand_agent_training_2_years_kolkata (1).xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\final_demand_agent_training_2_years_kolkata (1).xlsx,XLSX,3189684,demand_training_data|data_dictionary|README,TRAINING_DATA,Demand,"Secondary demand training dataset: 20,800 rows x 34 cols, 40 regions x 5 products x 104 weeks (synthetic)",9dfd75d17986c30532bdabdbf9ce1c04ddec1970801c98b1134923ada69d9245,2026-09-23T17:43:15.301092+00:00,AVAILABLE,Datasets/raw
SRC-008,sales_history.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\demand\sales_history.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\sales_history.xlsx,XLSX_LFS_POINTER,134,,HISTORICAL_FACT,Sales,"BLOCKED: Git-LFS pointer. Underlying sales history not available locally. OID: fc8022e6248ccb8725f6ff8cb9c70aa91a6f76aeb99bce62db5866f7c902e6e5. Expected size: 177,644,415 bytes.",N/A (LFS pointer),2026-09-23T17:43:15.301092+00:00,BLOCKED_LFS_POINTER,Datasets/raw
SRC-009,inventory_stock.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\inventory\inventory_stock.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\inventory_stock.xlsx,XLSX,1228972,README|Product_Master|Warehouse_Master|Shelf_Master|Product_Shelf_Assignment|Inventory_Position|Inventory_Valuation|Inventory_Control|Transaction_File_Reference|Data_Dictionary|QA,SNAPSHOT,Inventory,"Inventory snapshot: 3,000 product-warehouse positions across 15 warehouses x 200 products. Snapshot date: 2026-08-31.",d3ae242fb2122b94744ef6eefbe48b9841ae8331c95d9bd7bae0d0bebd82244d,2026-09-23T17:43:15.312963+00:00,AVAILABLE,Datasets/raw
SRC-010,inventory_transactions.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\inventory\inventory_transactions.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\inventory_transactions.xlsx,XLSX_LFS_POINTER,133,,TRANSACTION,Inventory,"BLOCKED: Git-LFS pointer. Underlying transaction data not available locally. OID: 5fc053bab861bc764e13ac15b74ebcab11b4bf35403f436eadd68d727a06a749. Expected size: 55,855,339 bytes.",N/A (LFS pointer),2026-09-23T17:43:15.312963+00:00,BLOCKED_LFS_POINTER,Datasets/raw
SRC-011,supplier_inventory.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\supplier\supplier_inventory.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\supplier_inventory.xlsx,XLSX,644492,README|Area_Master|Supplier_Master|Area_Supplier_Options|Supplier_Product_Catalog|Product_Master_Reference|Warehouse_Master_Reference|Data_Dictionary|QA,MASTER|BRIDGE,Supplier,"Supplier dataset: 200 suppliers, 8,000 catalog rows, 40-area location master, area-supplier options",4b528c1a0946f092ab8648e3e54229bc654325dcbd5ad9e69033291ad9a6beba,2026-09-23T17:43:15.323516+00:00,AVAILABLE,Datasets/raw
SRC-012,warehouses.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\warehouse\warehouses.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\warehouses.xlsx,XLSX,9538,warehouse|README|Data_Dictionary|QA,MASTER,Warehouse,"Primary warehouse master: 15 warehouses with vehicle counts, operating hours, dispatch capacity",aba1ab98bc427de20499c6c8a0b249573a8930eb9f5451a78827f5315e049b3b,2026-09-23T17:43:15.333069+00:00,AVAILABLE,Datasets/raw
SRC-013,final_warehouse_dataset_kolkata.xlsx,D:\ai-multi-agent-supply-chain\Datasets\raw\warehouse\final_warehouse_dataset_kolkata.xlsx,D:\ai-multi-agent-supply-chain\data\01_raw\final_warehouse_dataset_kolkata.xlsx,XLSX,6060,warehouse|README,MASTER|SUPPORTING,Warehouse,"Secondary warehouse dataset: 15 warehouses with storage_type, x/y coordinates, status",9c55ab5102f564ed9c5be5f6cd58c382c3622bd6168ae50e46cdd8b70d0e7bdb,2026-09-23T17:43:15.335664+00:00,AVAILABLE,Datasets/raw
