warehouse_id,warehouse_name,area,city,latitude,longitude,capacity_units,weekday_opening,weekday_closing,weekend_opening,weekend_closing,daily_dispatch_capacity_units,service_radius_km,cycle_count,bike_count,scooter_count,electric_scooter_count,auto_count,total_vehicle_count,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,South City Mall Warehouse,Jadavpur,Kolkata,22.5014,88.36175,20000,08:00,22:00,09:00,22:00,7000,18,8,14,10,6,4,42,1,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,Quest Mall Warehouse,Park Circus,Kolkata,22.53905,88.36573,16000,08:00,22:00,09:00,22:00,5600,16,7,15,11,5,4,42,2,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,Acropolis Mall Warehouse,Kasba,Kolkata,22.51531,88.39319,18000,08:00,22:00,09:00,22:00,6300,18,8,16,10,6,5,45,3,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,Mani Square Warehouse,Kankurgachi,Kolkata,22.57779,88.40055,18000,08:00,22:00,09:00,22:00,6300,18,7,15,12,6,5,45,4,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-005,City Centre I Warehouse,Salt Lake,Kolkata,22.58821,88.40843,20000,08:00,22:00,09:00,22:00,7000,18,9,16,11,6,4,46,5,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-006,City Centre II Warehouse,New Town,Kolkata,22.62285,88.45036,24000,00:00,23:59,00:00,23:59,8400,22,8,18,12,7,5,50,6,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-007,Axis Mall Warehouse,New Town,Kolkata,22.57951,88.45982,18000,08:00,22:00,09:00,22:00,6300,18,7,16,12,6,5,46,7,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-008,Lake Mall Warehouse,Rashbehari,Kolkata,22.51646,88.34886,12000,08:00,21:00,09:00,21:00,4200,14,8,17,11,7,5,48,8,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-009,Forum Courtyard Warehouse,Elgin,Kolkata,22.5384,88.35133,15000,08:00,22:00,09:00,22:00,5250,15,8,15,11,6,4,44,9,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-010,Diamond Plaza Warehouse,Dum Dum,Kolkata,22.6154,88.4123,16000,08:00,22:00,09:00,22:00,5600,16,7,16,11,6,5,45,10,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-011,Gariahat Mall Warehouse,Gariahat,Kolkata,22.52146,88.37098,13000,08:00,21:00,09:00,21:00,4550,14,8,15,10,6,4,43,11,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-012,Merlin Homeland Warehouse,Bhowanipore,Kolkata,22.5359,88.34606,12000,08:00,21:00,09:00,21:00,4200,14,7,14,10,6,4,41,12,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-013,Metro Plaza Warehouse,Park Street,Kolkata,22.552639,88.363906,10000,09:00,21:00,10:00,21:00,3500,12,7,15,10,5,4,41,13,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-014,E-Mall Warehouse,Chittaranjan Avenue,Kolkata,22.553533,88.367349,11000,09:00,21:00,10:00,21:00,3850,12,8,15,11,6,5,45,14,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-015,The Enclave Mall Warehouse,Alipore,Kolkata,22.487417,88.328213,12000,08:00,21:00,09:00,21:00,4200,14,7,14,10,6,4,41,15,warehouses.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
