location_id,region_name
KOL-LOC-001,Lake Gardens
KOL-LOC-002,Jadavpur
KOL-LOC-003,Dhakuria
KOL-LOC-004,Gariahat
KOL-LOC-005,Ballygunge
KOL-LOC-006,Jodhpur Park
KOL-LOC-007,Tollygunge
KOL-LOC-008,Golf Green
KOL-LOC-009,Garia
KOL-LOC-010,Kasba
KOL-LOC-011,Mukundapur
KOL-LOC-012,Santoshpur
KOL-LOC-013,New Alipore
KOL-LOC-014,Behala
KOL-LOC-015,Chetla
KOL-LOC-016,Alipore
KOL-LOC-017,Kalighat
KOL-LOC-018,Bhawanipore
KOL-LOC-019,Park Street
KOL-LOC-020,Esplanade
KOL-LOC-021,Entally
KOL-LOC-022,Sealdah
KOL-LOC-023,Tangra
KOL-LOC-024,Topsia
KOL-LOC-025,Beliaghata
KOL-LOC-026,Maniktala
KOL-LOC-027,Kankurgachi
KOL-LOC-028,Ultadanga
KOL-LOC-029,Lake Town
KOL-LOC-030,Dum Dum
KOL-LOC-031,Nagerbazar
KOL-LOC-032,Shyambazar
KOL-LOC-033,Salt Lake
KOL-LOC-034,Sector V
KOL-LOC-035,New Town
KOL-LOC-036,Rajarhat
KOL-LOC-037,Anandapur
KOL-LOC-038,Patuli
KOL-LOC-039,Nayabad
KOL-LOC-040,Chak Garia
