product_id,category_code,category_name,product_name,brand,quality_level,unit_type,unit_size_1,cp_1_rs,sp_1_rs,unit_size_2,cp_2_rs,sp_2_rs,unit_size_3,cp_3_rs,sp_3_rs,unit_size_4,cp_4_rs,sp_4_rs,unit_size_5,cp_5_rs,sp_5_rs,_row_id,_source_file,_source_sheet,_staged_at
ICE-001,ICE,Ice Cream & Frozen Desserts,Amul Vanilla Ice Cream,Amul,Standard,ml,80 ml,36,41,125 ml,52,60,250 ml,82,94,500 ml,120,138,1 L,218,251,1,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-002,ICE,Ice Cream & Frozen Desserts,Amul Chocolate Ice Cream,Amul,Standard,ml,80 ml,36,41,125 ml,52,60,250 ml,82,94,500 ml,120,138,1 L,218,251,2,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-003,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Cornetto,Kwality Wall's,Standard,ml,80 ml,48,55,125 ml,69,79,250 ml,109,125,500 ml,160,184,1 L,291,335,3,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-004,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Magnum Classic,Kwality Wall's,Premium,ml,80 ml,78,90,125 ml,112,129,250 ml,177,204,500 ml,260,299,1 L,473,544,4,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-005,ICE,Ice Cream & Frozen Desserts,Havmor Butterscotch Ice Cream,Havmor,Standard,ml,80 ml,51,59,125 ml,73,84,250 ml,116,133,500 ml,170,195,1 L,309,355,5,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-006,ICE,Ice Cream & Frozen Desserts,Havmor Mango Ice Cream,Havmor,Standard,ml,80 ml,51,59,125 ml,73,84,250 ml,116,133,500 ml,170,195,1 L,309,355,6,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-007,ICE,Ice Cream & Frozen Desserts,Vadilal Kesar Pista Ice Cream,Vadilal,Standard,ml,80 ml,45,52,125 ml,64,74,250 ml,102,117,500 ml,150,173,1 L,273,314,7,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-008,ICE,Ice Cream & Frozen Desserts,Naturals Tender Coconut Ice Cream,Naturals,Premium,ml,80 ml,66,76,125 ml,95,109,250 ml,150,173,500 ml,220,253,1 L,400,460,8,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-009,ICE,Ice Cream & Frozen Desserts,Mother Dairy Strawberry Ice Cream,Mother Dairy,Standard,ml,80 ml,44,51,125 ml,62,71,250 ml,99,114,500 ml,145,167,1 L,264,304,9,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
ICE-010,ICE,Ice Cream & Frozen Desserts,Amul Rajbhog Ice Cream,Amul,Premium,ml,80 ml,36,41,125 ml,52,60,250 ml,82,94,500 ml,120,138,1 L,218,251,10,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
CHO-001,CHO,Chocolates & Confectionery,Cadbury Dairy Milk,Cadbury,Standard,g,20 g,17,20,40 g,34,39,60 g,51,59,100 g,86,99,150 g,122,140,11,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
CHO-002,CHO,Chocolates & Confectionery,Cadbury 5 Star,Cadbury,Standard,g,20 g,17,20,40 g,34,39,60 g,51,59,100 g,86,99,150 g,122,140,12,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
CHO-003,CHO,Chocolates & Confectionery,Cadbury Silk,Cadbury,Premium,g,20 g,25,29,40 g,51,59,60 g,76,87,100 g,126,145,150 g,179,206,13,Final product list.xlsx,product_master,2026-09-21T14:25:30.977573+00:00
