supplier_id,supplier_name,supplier_type_id,supplier_type_name,location_id,location_name,city,supplier_latitude,supplier_longitude,product_category_scope,minimum_order_qty_units,max_order_qty_units,max_ship_qty_at_once_units,supplier_storage_capacity_units,vehicle_type,vehicle_count,vehicle_load_capacity_units,lead_time_days,location_note,_row_id,_source_file,_source_sheet,_staged_at
SUP-KOL-001-01,Lake Gardens Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-001,Lake Gardens,Kolkata,22.5051,88.3542,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,90,1900,750,2300,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,1,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02,Lake Gardens Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-001,Lake Gardens,Kolkata,22.5078,88.3544,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",110,2300,1050,3100,Mini Truck,5,30,1,Approximate planning coordinate near area center,2,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03,Lake Gardens Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-001,Lake Gardens,Kolkata,22.5055,88.3569,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,70,1700,800,2500,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,3,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-04,Lake Gardens Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-001,Lake Gardens,Kolkata,22.5076,88.3568,Soft Drinks & Beverages; Tea & Coffee,90,1900,950,1900,Van,4,26,1,Approximate planning coordinate near area center,4,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-05,"Lake Gardens Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-001,Lake Gardens,Kolkata,22.5065,88.3554,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,60,1500,650,1900,Mini Truck,4,29,1,Approximate planning coordinate near area center,5,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-002-01,Jadavpur Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-002,Jadavpur,Kolkata,22.49805,88.36945,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,100,2000,800,2400,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,6,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-002-02,Jadavpur Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-002,Jadavpur,Kolkata,22.50075,88.36965,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",120,2400,1100,3200,Mini Truck,4,30,1,Approximate planning coordinate near area center,7,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-002-03,Jadavpur Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-002,Jadavpur,Kolkata,22.49845,88.37215,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,80,1800,850,2600,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,8,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-002-04,Jadavpur Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-002,Jadavpur,Kolkata,22.50055,88.37205,Soft Drinks & Beverages; Tea & Coffee,100,2000,1000,2000,Van,3,26,1,Approximate planning coordinate near area center,9,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-002-05,"Jadavpur Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-002,Jadavpur,Kolkata,22.49945,88.37065,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,70,1600,700,2000,Mini Truck,3,29,1,Approximate planning coordinate near area center,10,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
