product_id,category_code,category_name,product_name,brand,quality_level,unit_type,unit_size,cost_price,selling_price
PRO-001,ICE,Ice Cream & Frozen Desserts,Amul Vanilla Ice Cream,Amul,Standard,ml,80 ml,36,41
PRO-002,ICE,Ice Cream & Frozen Desserts,Amul Chocolate Ice Cream,Amul,Standard,ml,80 ml,36,41
PRO-003,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Cornetto,Kwality Wall's,Standard,ml,80 ml,48,55
PRO-004,ICE,Ice Cream & Frozen Desserts,Kwality Wall's Magnum Classic,Kwality Wall's,Premium,ml,80 ml,78,90
PRO-005,ICE,Ice Cream & Frozen Desserts,Havmor Butterscotch Ice Cream,Havmor,Standard,ml,80 ml,51,59
PRO-006,ICE,Ice Cream & Frozen Desserts,Havmor Mango Ice Cream,Havmor,Standard,ml,80 ml,51,59
PRO-007,ICE,Ice Cream & Frozen Desserts,Vadilal Kesar Pista Ice Cream,Vadilal,Standard,ml,80 ml,45,52
PRO-008,ICE,Ice Cream & Frozen Desserts,Naturals Tender Coconut Ice Cream,Naturals,Premium,ml,80 ml,66,76
PRO-009,ICE,Ice Cream & Frozen Desserts,Mother Dairy Strawberry Ice Cream,Mother Dairy,Standard,ml,80 ml,44,51
PRO-010,ICE,Ice Cream & Frozen Desserts,Amul Rajbhog Ice Cream,Amul,Premium,ml,80 ml,36,41
PRO-011,CHO,Chocolates & Confectionery,Cadbury Dairy Milk,Cadbury,Standard,g,20 g,17,20
PRO-012,CHO,Chocolates & Confectionery,Cadbury 5 Star,Cadbury,Standard,g,20 g,17,20
PRO-013,CHO,Chocolates & Confectionery,Cadbury Silk,Cadbury,Premium,g,20 g,25,29
PRO-014,CHO,Chocolates & Confectionery,Cadbury Perk,Cadbury,Standard,g,20 g,17,20
PRO-015,CHO,Chocolates & Confectionery,Nestlé KitKat,Nestlé,Standard,g,20 g,17,20
PRO-016,CHO,Chocolates & Confectionery,Nestlé Munch,Nestlé,Standard,g,20 g,17,20
PRO-017,CHO,Chocolates & Confectionery,Amul Dark Chocolate,Amul,Premium,g,20 g,18,21
PRO-018,CHO,Chocolates & Confectionery,Ferrero Rocher,Ferrero,Premium,g,20 g,129,148
PRO-019,CHO,Chocolates & Confectionery,Cadbury Gems,Cadbury,Standard,g,20 g,17,20
PRO-020,CHO,Chocolates & Confectionery,Parle Melody Toffee Pack,Parle,Standard,g,20 g,17,20
PRO-021,SNK,Chips & Namkeen,Lay's Classic Salted,Lay's,Standard,g,50 g,16,18
PRO-022,SNK,Chips & Namkeen,Lay's Magic Masala,Lay's,Standard,g,50 g,16,18
PRO-023,SNK,Chips & Namkeen,Lay's Cream & Onion,Lay's,Standard,g,50 g,16,18
PRO-024,SNK,Chips & Namkeen,Bingo Original Style,Bingo,Standard,g,50 g,16,18
PRO-025,SNK,Chips & Namkeen,Kurkure Masala Munch,Kurkure,Standard,g,50 g,16,18
PRO-026,SNK,Chips & Namkeen,Haldiram's Aloo Bhujia,Haldiram's,Standard,g,50 g,16,18
PRO-027,SNK,Chips & Namkeen,Haldiram's Moong Dal,Haldiram's,Standard,g,50 g,16,18
PRO-028,SNK,Chips & Namkeen,Bikaji Bikaneri Bhujia,Bikaji,Standard,g,50 g,16,18
PRO-029,SNK,Chips & Namkeen,Uncle Chipps Plain Salted,Uncle Chipps,Standard,g,50 g,16,18
PRO-030,SNK,Chips & Namkeen,Balaji Wafers Masala,Balaji,Standard,g,50 g,16,18
PRO-031,BEV,Soft Drinks & Beverages,Coca-Cola,Coca-Cola,Standard,ml,200 ml,16,18
PRO-032,BEV,Soft Drinks & Beverages,Thums Up,Coca-Cola,Standard,ml,200 ml,16,18
PRO-033,BEV,Soft Drinks & Beverages,Sprite,Coca-Cola,Standard,ml,200 ml,16,18
PRO-034,BEV,Soft Drinks & Beverages,Limca,Coca-Cola,Standard,ml,200 ml,16,18
PRO-035,BEV,Soft Drinks & Beverages,Fanta Orange,Coca-Cola,Standard,ml,200 ml,16,18
PRO-036,BEV,Soft Drinks & Beverages,Maaza Mango,Coca-Cola,Standard,ml,200 ml,16,18
PRO-037,BEV,Soft Drinks & Beverages,Frooti Mango,Parle Agro,Standard,ml,200 ml,14,16
PRO-038,BEV,Soft Drinks & Beverages,Paper Boat Aam Panna,Paper Boat,Premium,ml,200 ml,33,38
PRO-039,BEV,Soft Drinks & Beverages,Red Bull Energy Drink,Red Bull,Premium,ml,200 ml,284,327
PRO-040,BEV,Soft Drinks & Beverages,Kinley Mineral Water,Kinley,Standard,ml,200 ml,14,16
PRO-041,DAI,Dairy & Milk Products,Amul Full Cream Milk,Amul,Standard,ml,200 ml,85,98
PRO-042,DAI,Dairy & Milk Products,Amul Taaza Toned Milk,Amul,Standard,ml,200 ml,16,18
PRO-043,DAI,Dairy & Milk Products,Mother Dairy Toned Milk,Mother Dairy,Standard,ml,200 ml,16,18
PRO-044,DAI,Dairy & Milk Products,Amul Masti Dahi,Amul,Standard,g,100 g,11,13
PRO-045,DAI,Dairy & Milk Products,Mother Dairy Curd,Mother Dairy,Standard,g,100 g,10,12
PRO-046,DAI,Dairy & Milk Products,Amul Butter,Amul,Premium,g,100 g,65,75
PRO-047,DAI,Dairy & Milk Products,Amul Paneer,Amul,Premium,g,100 g,47,54
PRO-048,DAI,Dairy & Milk Products,Amul Cheese Slices,Amul,Premium,g,100 g,58,67
PRO-049,DAI,Dairy & Milk Products,Epigamia Greek Yogurt,Epigamia,Premium,g,100 g,107,123
PRO-050,DAI,Dairy & Milk Products,Amul Fresh Cream,Amul,Premium,ml,200 ml,85,98
PRO-051,BAK,Bread & Bakery,Britannia White Bread,Britannia,Standard,g,200 g,21,24
PRO-052,BAK,Bread & Bakery,Britannia Brown Bread,Britannia,Standard,g,200 g,21,24
PRO-053,BAK,Bread & Bakery,Modern Milk Bread,Modern,Standard,g,200 g,21,24
PRO-054,BAK,Bread & Bakery,Harvest Gold White Bread,Harvest Gold,Standard,g,200 g,21,24
PRO-055,BAK,Bread & Bakery,Britannia Fruit Cake,Britannia,Standard,g,200 g,79,91
PRO-056,BAK,Bread & Bakery,Monginis Chocolate Cake,Monginis,Premium,g,200 g,79,91
PRO-057,BAK,Bread & Bakery,Monginis Cream Roll,Monginis,Premium,g,200 g,42,48
PRO-058,BAK,Bread & Bakery,Modern Sandwich Bread,Modern,Standard,g,200 g,21,24
PRO-059,BAK,Bread & Bakery,Britannia Croissant,Britannia,Premium,g,200 g,46,53
PRO-060,BAK,Bread & Bakery,Theobroma Brownie Box,Theobroma,Premium,g,200 g,206,237
PRO-061,STP,Rice & Staples,India Gate Basmati Rice,India Gate,Premium,g,500 g,40,46
PRO-062,STP,Rice & Staples,Daawat Basmati Rice,Daawat,Premium,g,500 g,40,46
PRO-063,STP,Rice & Staples,Fortune Rozana Rice,Fortune,Standard,g,500 g,36,41
PRO-064,STP,Rice & Staples,Gobindobhog Rice,Local Premium,Premium,g,500 g,36,41
PRO-065,STP,Rice & Staples,India Gate Dubar Rice,India Gate,Standard,g,500 g,40,46
PRO-066,STP,Rice & Staples,Daawat Sona Masuri Rice,Daawat,Standard,g,500 g,40,46
PRO-067,STP,Rice & Staples,Lal Qilla Basmati Rice,Lal Qilla,Premium,g,500 g,36,41
PRO-068,STP,Rice & Staples,Fortune Everyday Rice,Fortune,Standard,g,500 g,36,41
PRO-069,STP,Rice & Staples,Kohinoor Basmati Rice,Kohinoor,Premium,g,500 g,36,41
PRO-070,STP,Rice & Staples,Miniket Rice,Local,Standard,g,500 g,36,41
PRO-071,FLO,"Flour, Atta & Baking Essentials",Aashirvaad Whole Wheat Atta,Aashirvaad,Standard,g,500 g,34,39
PRO-072,FLO,"Flour, Atta & Baking Essentials",Fortune Chakki Fresh Atta,Fortune,Standard,g,500 g,34,39
PRO-073,FLO,"Flour, Atta & Baking Essentials",Pillsbury Chakki Fresh Atta,Pillsbury,Standard,g,500 g,34,39
PRO-074,FLO,"Flour, Atta & Baking Essentials",Annapurna Atta,Annapurna,Standard,g,500 g,34,39
PRO-075,FLO,"Flour, Atta & Baking Essentials",Aashirvaad Multigrain Atta,Aashirvaad,Premium,g,500 g,34,39
PRO-076,FLO,"Flour, Atta & Baking Essentials",Tata Sampann Besan,Tata Sampann,Premium,g,500 g,37,43
PRO-077,FLO,"Flour, Atta & Baking Essentials",Fortune Maida,Fortune,Standard,g,500 g,34,39
PRO-078,FLO,"Flour, Atta & Baking Essentials",Rajdhani Besan,Rajdhani,Standard,g,500 g,34,39
PRO-079,FLO,"Flour, Atta & Baking Essentials",Pillsbury Maida,Pillsbury,Standard,g,500 g,34,39
PRO-080,FLO,"Flour, Atta & Baking Essentials",Baking Soda,Weikfield,Standard,g,500 g,34,39
PRO-081,DAL,Pulses & Dal,Tata Sampann Toor Dal,Tata Sampann,Premium,g,500 g,96,110
PRO-082,DAL,Pulses & Dal,Tata Sampann Moong Dal,Tata Sampann,Premium,g,500 g,96,110
PRO-083,DAL,Pulses & Dal,Tata Sampann Masoor Dal,Tata Sampann,Premium,g,500 g,96,110
PRO-084,DAL,Pulses & Dal,Fortune Chana Dal,Fortune,Standard,g,500 g,88,101
PRO-085,DAL,Pulses & Dal,Fortune Urad Dal,Fortune,Standard,g,500 g,88,101
PRO-086,DAL,Pulses & Dal,India Gate Moong Dal,India Gate,Premium,g,500 g,98,113
PRO-087,DAL,Pulses & Dal,India Gate Masoor Dal,India Gate,Premium,g,500 g,98,113
PRO-088,DAL,Pulses & Dal,Tata Sampann Rajma,Tata Sampann,Premium,g,500 g,96,110
PRO-089,DAL,Pulses & Dal,Tata Sampann Kabuli Chana,Tata Sampann,Premium,g,500 g,96,110
PRO-090,DAL,Pulses & Dal,Organic Tattva Moong Dal,Organic Tattva,Premium,g,500 g,118,136
PRO-091,OIL,Cooking Oil & Ghee,Fortune Sunflower Oil,Fortune,Standard,ml,500 ml,85,98
PRO-092,OIL,Cooking Oil & Ghee,Fortune Rice Bran Oil,Fortune,Premium,ml,500 ml,85,98
PRO-093,OIL,Cooking Oil & Ghee,Saffola Gold Oil,Saffola,Premium,ml,500 ml,100,115
PRO-094,OIL,Cooking Oil & Ghee,Saffola Active Oil,Saffola,Premium,ml,500 ml,100,115
PRO-095,OIL,Cooking Oil & Ghee,Emami Healthy & Tasty Mustard Oil,Emami,Standard,ml,500 ml,85,98
PRO-096,OIL,Cooking Oil & Ghee,Fortune Soyabean Oil,Fortune,Standard,ml,500 ml,85,98
PRO-097,OIL,Cooking Oil & Ghee,Gemini Refined Sunflower Oil,Gemini,Standard,ml,500 ml,85,98
PRO-098,OIL,Cooking Oil & Ghee,Dhara Mustard Oil,Dhara,Standard,ml,500 ml,85,98
PRO-099,OIL,Cooking Oil & Ghee,Amul Pure Ghee,Amul,Premium,ml,500 ml,408,469
PRO-100,OIL,Cooking Oil & Ghee,Patanjali Cow Ghee,Patanjali,Premium,ml,500 ml,400,460
PRO-101,FRT,Fresh Fruits,Apple,Fresho,Premium,g,250 g,55,63
PRO-102,FRT,Fresh Fruits,Banana,Fresho,Standard,dozen,1 dozen,35,40
PRO-103,FRT,Fresh Fruits,Mango,Fresho,Premium,g,250 g,40,46
PRO-104,FRT,Fresh Fruits,Orange,Fresho,Standard,g,250 g,24,28
PRO-105,FRT,Fresh Fruits,Guava,Fresho,Standard,g,250 g,21,24
PRO-106,FRT,Fresh Fruits,Papaya,Fresho,Standard,g,250 g,16,18
PRO-107,FRT,Fresh Fruits,Pomegranate,Fresho,Premium,g,250 g,55,63
PRO-108,FRT,Fresh Fruits,Watermelon,Fresho,Standard,piece,1 piece,55,63
PRO-109,FRT,Fresh Fruits,Grapes,Fresho,Premium,g,250 g,45,52
PRO-110,FRT,Fresh Fruits,Pineapple,Fresho,Standard,piece,1 piece,65,75
PRO-111,VEG,Fresh Vegetables,Potato,Fresho,Standard,g,250 g,10,12
PRO-112,VEG,Fresh Vegetables,Tomato,Fresho,Standard,g,250 g,12,14
PRO-113,VEG,Fresh Vegetables,Onion,Fresho,Standard,g,250 g,13,15
PRO-114,VEG,Fresh Vegetables,Green Peas,Fresho,Premium,g,100 g,14,16
PRO-115,VEG,Fresh Vegetables,Cauliflower,Fresho,Standard,piece,1 piece,50,57
PRO-116,VEG,Fresh Vegetables,Spinach,Fresho,Standard,g,100 g,10,12
PRO-117,VEG,Fresh Vegetables,Carrot,Fresho,Standard,g,100 g,10,12
PRO-118,VEG,Fresh Vegetables,Cucumber,Fresho,Standard,g,100 g,10,12
PRO-119,VEG,Fresh Vegetables,Green Chilli,Fresho,Standard,g,100 g,14,16
PRO-120,VEG,Fresh Vegetables,Brinjal,Fresho,Standard,g,100 g,10,12
PRO-121,BIS,Biscuits & Cookies,Parle-G,Parle,Standard,g,50 g,8,9
PRO-122,BIS,Biscuits & Cookies,Britannia Good Day,Britannia,Standard,g,50 g,8,9
PRO-123,BIS,Biscuits & Cookies,Britannia Marie Gold,Britannia,Standard,g,50 g,8,9
PRO-124,BIS,Biscuits & Cookies,Britannia Bourbon,Britannia,Premium,g,50 g,8,9
PRO-125,BIS,Biscuits & Cookies,Parle Hide & Seek,Parle,Premium,g,50 g,8,9
PRO-126,BIS,Biscuits & Cookies,Sunfeast Dark Fantasy,Sunfeast,Premium,g,50 g,8,9
PRO-127,BIS,Biscuits & Cookies,Sunfeast Marie Light,Sunfeast,Standard,g,50 g,8,9
PRO-128,BIS,Biscuits & Cookies,Oreo Original,Oreo,Premium,g,50 g,8,9
PRO-129,BIS,Biscuits & Cookies,Tiger Glucose Biscuits,Britannia,Standard,g,50 g,8,9
PRO-130,BIS,Biscuits & Cookies,Jim Jam Sandwich Biscuits,Parle,Standard,g,50 g,8,9
PRO-131,TEA,Tea & Coffee,Tata Tea Gold,Tata Tea,Premium,g,50 g,29,33
PRO-132,TEA,Tea & Coffee,Tata Tea Premium,Tata Tea,Standard,g,50 g,29,33
PRO-133,TEA,Tea & Coffee,Brooke Bond Red Label,Brooke Bond,Standard,g,50 g,29,33
PRO-134,TEA,Tea & Coffee,Brooke Bond Taj Mahal,Brooke Bond,Premium,g,50 g,29,33
PRO-135,TEA,Tea & Coffee,Society Tea,Society,Standard,g,50 g,29,33
PRO-136,TEA,Tea & Coffee,Wagh Bakri Premium Tea,Wagh Bakri,Premium,g,50 g,29,33
PRO-137,TEA,Tea & Coffee,Nescafé Classic,Nescafé,Standard,g,50 g,29,33
PRO-138,TEA,Tea & Coffee,Nescafé Sunrise,Nescafé,Standard,g,50 g,29,33
PRO-139,TEA,Tea & Coffee,Bru Instant Coffee,Bru,Standard,g,50 g,121,139
PRO-140,TEA,Tea & Coffee,Tata Coffee Grand,Tata Coffee,Premium,g,50 g,91,105
PRO-141,PCR,Personal Care,Sunsilk Shampoo,Sunsilk,Standard,ml,50 ml,33,38
PRO-142,PCR,Personal Care,Clinic Plus Shampoo,Clinic Plus,Standard,ml,50 ml,33,38
PRO-143,PCR,Personal Care,Dove Body Wash,Dove,Premium,ml,50 ml,30,35
PRO-144,PCR,Personal Care,Lux Soap,Lux,Standard,g,50 g,20,23
PRO-145,PCR,Personal Care,Pears Soap,Pears,Premium,g,50 g,20,23
PRO-146,PCR,Personal Care,Dettol Body Wash,Dettol,Premium,ml,50 ml,30,35
PRO-147,PCR,Personal Care,Nivea Body Lotion,Nivea,Premium,ml,50 ml,29,33
PRO-148,PCR,Personal Care,Vaseline Body Lotion,Vaseline,Standard,ml,50 ml,29,33
PRO-149,PCR,Personal Care,Himalaya Face Wash,Himalaya,Standard,ml,50 ml,40,46
PRO-150,PCR,Personal Care,Mamaearth Face Wash,Mamaearth,Premium,ml,50 ml,57,66
PRO-151,ORL,Oral Care,Colgate Strong Teeth,Colgate,Standard,g,50 g,41,47
PRO-152,ORL,Oral Care,Colgate MaxFresh,Colgate,Premium,g,50 g,41,47
PRO-153,ORL,Oral Care,Colgate Visible White,Colgate,Premium,g,50 g,41,47
PRO-154,ORL,Oral Care,Closeup Ever Fresh,Closeup,Standard,g,50 g,41,47
PRO-155,ORL,Oral Care,Pepsodent Germicheck,Pepsodent,Standard,g,50 g,41,47
PRO-156,ORL,Oral Care,Sensodyne Fresh Mint,Sensodyne,Premium,g,50 g,153,176
PRO-157,ORL,Oral Care,Dabur Red Paste,Dabur,Standard,g,50 g,41,47
PRO-158,ORL,Oral Care,Meswak Toothpaste,Dabur,Premium,g,50 g,41,47
PRO-159,ORL,Oral Care,Colgate Kids,Colgate,Standard,g,50 g,58,67
PRO-160,ORL,Oral Care,Oral-B Toothbrush Pack,Oral-B,Premium,g,50 g,25,29
PRO-161,CLN,Home Cleaning,Surf Excel Matic,Surf Excel,Premium,g,500 g,135,155
PRO-162,CLN,Home Cleaning,Ariel Matic,Ariel,Premium,g,500 g,135,155
PRO-163,CLN,Home Cleaning,Tide Plus,Tide,Standard,g,500 g,100,115
PRO-164,CLN,Home Cleaning,Vim Dishwash Liquid,Vim,Standard,ml,50 ml,10,12
PRO-165,CLN,Home Cleaning,Vim Dishwash Bar,Vim,Standard,g,50 g,11,13
PRO-166,CLN,Home Cleaning,Lizol Floor Cleaner,Lizol,Premium,g,50 g,11,13
PRO-167,CLN,Home Cleaning,Harpic Toilet Cleaner,Harpic,Standard,ml,50 ml,10,12
PRO-168,CLN,Home Cleaning,Colin Glass Cleaner,Colin,Standard,ml,50 ml,10,12
PRO-169,CLN,Home Cleaning,Domex Toilet Cleaner,Domex,Standard,ml,50 ml,10,12
PRO-170,CLN,Home Cleaning,Dettol Disinfectant Liquid,Dettol,Premium,ml,50 ml,10,12
PRO-171,HOU,Household Essentials,Presto Garbage Bags,Presto,Standard,g,50 g,48,55
PRO-172,HOU,Household Essentials,Origami Tissue Roll Pack,Origami,Standard,g,50 g,48,55
PRO-173,HOU,Household Essentials,Freshwrap Aluminium Foil,Freshwrap,Standard,g,50 g,48,55
PRO-174,HOU,Household Essentials,Freshwrap Cling Film,Freshwrap,Standard,g,50 g,48,55
PRO-175,HOU,Household Essentials,Tupperware Storage Container,Tupperware,Premium,piece,1 piece,90,103
PRO-176,HOU,Household Essentials,Milton Water Bottle,Milton,Standard,g,50 g,48,55
PRO-177,HOU,Household Essentials,Cello Storage Container Set,Cello,Standard,g,50 g,48,55
PRO-178,HOU,Household Essentials,Scotch-Brite Scrub Pad Pack,Scotch-Brite,Standard,g,50 g,48,55
PRO-179,HOU,Household Essentials,Gala Floor Wiper,Gala,Standard,piece,1 piece,90,103
PRO-180,HOU,Household Essentials,Pigeon Kitchen Storage Set,Pigeon,Premium,g,50 g,48,55
PRO-181,INS,Instant & Packaged Foods,Maggi 2-Minute Noodles,Nestlé,Standard,g,50 g,10,12
PRO-182,INS,Instant & Packaged Foods,Yippee Magic Masala Noodles,Sunfeast,Standard,g,50 g,10,12
PRO-183,INS,Instant & Packaged Foods,MTR Ready-to-Eat Poha,MTR,Standard,g,50 g,14,16
PRO-184,INS,Instant & Packaged Foods,MTR Ready-to-Eat Upma,MTR,Premium,g,50 g,14,16
PRO-185,INS,Instant & Packaged Foods,MTR Ready-to-Eat Rajma,MTR,Premium,g,50 g,14,16
PRO-186,INS,Instant & Packaged Foods,Tata Sampann Poha,Tata Sampann,Standard,g,50 g,10,12
PRO-187,INS,Instant & Packaged Foods,Saffola Masala Oats,Saffola,Premium,g,50 g,10,12
PRO-188,INS,Instant & Packaged Foods,Kellogg's Corn Flakes,Kellogg's,Premium,g,50 g,14,16
PRO-189,INS,Instant & Packaged Foods,Quaker Oats,Quaker,Standard,g,50 g,15,17
PRO-190,INS,Instant & Packaged Foods,Ching's Schezwan Noodles,Ching's Secret,Standard,g,50 g,10,12
PRO-191,BAB,Baby Care & Family Care,Pampers Baby Dry Small,Pampers,Premium,g,50 g,52,60
PRO-192,BAB,Baby Care & Family Care,Pampers Baby Dry Medium,Pampers,Premium,g,50 g,52,60
PRO-193,BAB,Baby Care & Family Care,Huggies Wonder Pants Small,Huggies,Premium,g,50 g,52,60
PRO-194,BAB,Baby Care & Family Care,Huggies Wonder Pants Medium,Huggies,Premium,g,50 g,52,60
PRO-195,BAB,Baby Care & Family Care,Johnson's Baby Shampoo,Johnson's Baby,Standard,ml,50 ml,61,70
PRO-196,BAB,Baby Care & Family Care,Johnson's Baby Lotion,Johnson's Baby,Standard,ml,50 ml,61,70
PRO-197,BAB,Baby Care & Family Care,Himalaya Baby Wipes,Himalaya,Standard,g,50 g,44,51
PRO-198,BAB,Baby Care & Family Care,Mamaearth Baby Lotion,Mamaearth,Premium,ml,50 ml,88,101
PRO-199,BAB,Baby Care & Family Care,Sebamed Baby Wash,Sebamed,Premium,ml,50 ml,115,132
PRO-200,BAB,Baby Care & Family Care,Johnson's Baby Powder,Johnson's Baby,Standard,g,50 g,44,51
