warehouse_id,warehouse_name,area,city,latitude,longitude,capacity_units,weekday_open_time,weekday_close_time,weekend_open_time,weekend_close_time,daily_dispatch_capacity_units,service_radius_km,cycle_count,bike_count,scooter_count,electric_scooter_count,auto_count,total_vehicle_count,storage_type,x_coordinate,y_coordinate,status,source_file,standardized_at,pipeline_timestamp,total_warehouse_stock,capacity_utilization_pct,free_capacity_units,feature_set,assigned_picker_count
WH-KOL-001,South City Mall Warehouse,Jadavpur,Kolkata,22.5014,88.36175,20000,08:00,22:00,09:00,22:00,7000,18,8,14,10,6,4,42,Mixed,88.36175,22.5014,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,12270,61.35,7730,WAREHOUSE_AGENT,50
WH-KOL-002,Quest Mall Warehouse,Park Circus,Kolkata,22.53905,88.36573,16000,08:00,22:00,09:00,22:00,5600,16,7,15,11,5,4,42,Ambient,88.36573,22.53905,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,9971,62.32,6029,WAREHOUSE_AGENT,50
WH-KOL-003,Acropolis Mall Warehouse,Kasba,Kolkata,22.51531,88.39319,18000,08:00,22:00,09:00,22:00,6300,18,8,16,10,6,5,45,Mixed,88.39319,22.51531,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,11108,61.71,6892,WAREHOUSE_AGENT,50
WH-KOL-004,Mani Square Warehouse,Kankurgachi,Kolkata,22.57779,88.40055,18000,08:00,22:00,09:00,22:00,6300,18,7,15,12,6,5,45,Ambient,88.40055,22.57779,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,10868,60.38,7132,WAREHOUSE_AGENT,50
WH-KOL-005,City Centre I Warehouse,Salt Lake,Kolkata,22.58821,88.40843,20000,08:00,22:00,09:00,22:00,7000,18,9,16,11,6,4,46,Mixed,88.40843,22.58821,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,11904,59.52,8096,WAREHOUSE_AGENT,50
WH-KOL-006,City Centre II Warehouse,New Town,Kolkata,22.62285,88.45036,24000,00:00,23:59,00:00,23:59,8400,22,8,18,12,7,5,50,Mixed,88.45036,22.62285,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,13936,58.07,10064,WAREHOUSE_AGENT,50
WH-KOL-007,Axis Mall Warehouse,New Town,Kolkata,22.57951,88.45982,18000,08:00,22:00,09:00,22:00,6300,18,7,16,12,6,5,46,Ambient,88.45982,22.57951,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,11106,61.7,6894,WAREHOUSE_AGENT,50
WH-KOL-008,Lake Mall Warehouse,Rashbehari,Kolkata,22.51646,88.34886,12000,08:00,21:00,09:00,21:00,4200,14,8,17,11,7,5,48,Cold + Ambient,88.34886,22.51646,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,7293,60.78,4707,WAREHOUSE_AGENT,50
WH-KOL-009,Forum Courtyard Warehouse,Elgin,Kolkata,22.5384,88.35133,15000,08:00,22:00,09:00,22:00,5250,15,8,15,11,6,4,44,Ambient,88.35133,22.5384,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,8689,57.93,6311,WAREHOUSE_AGENT,50
WH-KOL-010,Diamond Plaza Warehouse,Dum Dum,Kolkata,22.6154,88.4123,16000,08:00,22:00,09:00,22:00,5600,16,7,16,11,6,5,45,Mixed,88.4123,22.6154,Active,warehouses.xlsx (primary) + final_warehouse_dataset_kolkata.xlsx,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:26:38.170968+00:00,9799,61.24,6201,WAREHOUSE_AGENT,50
