warehouse_id,warehouse_name,area,city,latitude,longitude,x_coordinate,y_coordinate,capacity_units,storage_type,weekday_opening,weekday_closing,weekend_opening,weekend_closing,status,_row_id,_source_file,_source_sheet,_staged_at
WH-KOL-001,South City Mall Warehouse,Jadavpur,Kolkata,22.5014,88.36175,88.36175,22.5014,20000,Mixed,08:00,22:00,09:00,22:00,Active,1,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,Quest Mall Warehouse,Park Circus,Kolkata,22.53905,88.36573,88.36573,22.53905,16000,Ambient,08:00,22:00,09:00,22:00,Active,2,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,Acropolis Mall Warehouse,Kasba,Kolkata,22.51531,88.39319,88.39319,22.51531,18000,Mixed,08:00,22:00,09:00,22:00,Active,3,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,Mani Square Warehouse,Kankurgachi,Kolkata,22.57779,88.40055,88.40055,22.57779,18000,Ambient,08:00,22:00,09:00,22:00,Active,4,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-005,City Centre I Warehouse,Salt Lake,Kolkata,22.58821,88.40843,88.40843,22.58821,20000,Mixed,08:00,22:00,09:00,22:00,Active,5,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-006,City Centre II Warehouse,New Town,Kolkata,22.62285,88.45036,88.45036,22.62285,24000,Mixed,00:00,23:59,00:00,23:59,Active,6,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-007,Axis Mall Warehouse,New Town,Kolkata,22.57951,88.45982,88.45982,22.57951,18000,Ambient,08:00,22:00,09:00,22:00,Active,7,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-008,Lake Mall Warehouse,Rashbehari,Kolkata,22.51646,88.34886,88.34886,22.51646,12000,Cold + Ambient,08:00,21:00,09:00,21:00,Active,8,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-009,Forum Courtyard Warehouse,Elgin,Kolkata,22.5384,88.35133,88.35133,22.5384,15000,Ambient,08:00,22:00,09:00,22:00,Active,9,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-010,Diamond Plaza Warehouse,Dum Dum,Kolkata,22.6154,88.4123,88.4123,22.6154,16000,Mixed,08:00,22:00,09:00,22:00,Active,10,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-011,Gariahat Mall Warehouse,Gariahat,Kolkata,22.52146,88.37098,88.37098,22.52146,13000,Cold + Ambient,08:00,21:00,09:00,21:00,Active,11,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-012,Merlin Homeland Warehouse,Bhowanipore,Kolkata,22.5359,88.34606,88.34606,22.5359,12000,Ambient,08:00,21:00,09:00,21:00,Active,12,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-013,Metro Plaza Warehouse,Park Street,Kolkata,22.552639,88.363906,88.363906,22.552639,10000,Ambient,09:00,21:00,10:00,21:00,Active,13,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-014,E-Mall Warehouse,Chittaranjan Avenue,Kolkata,22.553533,88.367349,88.367349,22.553533,11000,Controlled,09:00,21:00,10:00,21:00,Active,14,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
WH-KOL-015,The Enclave Mall Warehouse,Alipore,Kolkata,22.487417,88.328213,88.328213,22.487417,12000,Ambient,08:00,21:00,09:00,21:00,Active,15,final_warehouse_dataset_kolkata.xlsx,warehouse,2026-09-21T14:25:30.977573+00:00
