supplier_product_key,supplier_id,supplier_type_id,supplier_type_name,product_supplied_id,product_name,category_code,category_name,unit_type,supplier_cost_price_rs,supplied_unit_size,supply_status,_unnamed_12,_row_id,_source_file,_source_sheet,_staged_at
SUP-KOL-001-01_ICE-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-001,Amul Vanilla Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,36,35.71,80 ml,Available,1,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-002,Amul Chocolate Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,36,35.71,80 ml,Available,2,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-003,Kwality Wall's Cornetto,ICE,Ice Cream & Frozen Desserts,ml,48,47.62,80 ml,Available,3,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-004,Kwality Wall's Magnum Classic,ICE,Ice Cream & Frozen Desserts,ml,78,77.38,80 ml,Available,4,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-005,Havmor Butterscotch Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,51,50.59,80 ml,Available,5,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-006,Havmor Mango Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,51,50.59,80 ml,Available,6,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-007,Vadilal Kesar Pista Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,45,44.64,80 ml,Available,7,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-008,Naturals Tender Coconut Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,66,65.47,80 ml,Available,8,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-009,Mother Dairy Strawberry Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,44,43.65,80 ml,Available,9,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_ICE-010,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,ICE-010,Amul Rajbhog Ice Cream,ICE,Ice Cream & Frozen Desserts,ml,36,35.71,80 ml,Available,10,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-001,Amul Full Cream Milk,DAI,Dairy & Milk Products,ml,85,84.32,200 ml,Available,11,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-002,Amul Taaza Toned Milk,DAI,Dairy & Milk Products,ml,16,15.87,200 ml,Available,12,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-003,Mother Dairy Toned Milk,DAI,Dairy & Milk Products,ml,16,15.87,200 ml,Available,13,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-004,Amul Masti Dahi,DAI,Dairy & Milk Products,g,11,10.91,100 g,Available,14,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-005,Mother Dairy Curd,DAI,Dairy & Milk Products,g,10,9.92,100 g,Available,15,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-006,Amul Butter,DAI,Dairy & Milk Products,g,65,64.48,100 g,Available,16,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-007,Amul Paneer,DAI,Dairy & Milk Products,g,47,46.62,100 g,Available,17,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-008,Amul Cheese Slices,DAI,Dairy & Milk Products,g,58,57.54,100 g,Available,18,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-01_DAI-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-009,Epigamia Greek Yogurt,DAI,Dairy & Milk Products,g,107,106.14,100 g,Available,19,supplier_inventory.xlsx,Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
